SAMPLE ID,DataBase,SAMPLE_INFO
ODP0129-0801C-007R-004/137-142,No_database_info,No_database_info
ODP0129-0801C-008R-001/065-067,No_database_info,No_database_info
ODP0129-0801C-008R-001/101-106,No_database_info,No_database_info
ODP0129-0801C-008R-002/078-080,No_database_info,No_database_info
ODP0129-0801C-008R-002/133-139,No_database_info,No_database_info
ODP0129-0801C-009R-005/020-024,No_database_info,No_database_info
ODP0129-0801C-010R-001/055-060,No_database_info,No_database_info
ODP0129-0801C-010R-006/067-070,No_database_info,No_database_info
ODP0129-0801C-011R-002/121-126,No_database_info,No_database_info
ODP0129-0801C-011R-003/121-126,No_database_info,No_database_info
ODP0129-0801C-011R-003/131-136,No_database_info,No_database_info
ODP0129-0801C-012R-003/032-037,No_database_info,No_database_info
ODP0129-0801C-012R-003/057-062,No_database_info,No_database_info
ODP0185-0801C-015R-007/031-034,No_database_info,No_database_info
ODP0185-0801C-034R-001/093-096,No_database_info,No_database_info
ODP0185-0801C-040R-001/024-027,No_database_info,No_database_info
ODP0185-0801C-044R-003/023-026,No_database_info,No_database_info
ODP0129-0801B-037R-001/036-038,No_database_info,No_database_info
ODP0129-0801B-041R-001/026-030,No_database_info,No_database_info
ODP0129-0801B-041R-002/074-079,No_database_info,No_database_info
ODP0129-0801B-043R-003/111-114,No_database_info,No_database_info
ODP0129-0801C-001R-005/033-035,No_database_info,No_database_info
ODP0129-0801C-002R-005/024-028,No_database_info,No_database_info
ODP0129-0801C-005R-001/095-098,No_database_info,No_database_info
ODP0129-0801C-006R-003/042-045,No_database_info,No_database_info
ODP0129-0801C-007R-003/043-048,No_database_info,No_database_info
ODP0129-0801C-009R-004/001-004,No_database_info,No_database_info
ODP0129-0801C-011R-002/145-148,No_database_info,No_database_info
ODP0129-0801C-012R-002/111-113,No_database_info,No_database_info
ODP0185-0801C-014R-001/086-088,No_database_info,No_database_info
ODP0185-0801C-015R-002/117-120,No_database_info,No_database_info
ODP0185-0801C-015R-007/096-099,No_database_info,No_database_info
ODP0185-0801C-016R-002/027-031,No_database_info,No_database_info
ODP0185-0801C-016R-002/082-086,No_database_info,No_database_info
ODP0185-0801C-016R-005/062-065,No_database_info,No_database_info
ODP0185-0801C-018R-001/064-069,No_database_info,No_database_info
ODP0185-0801C-021R-002/086-089,No_database_info,No_database_info
ODP0185-0801C-023R-003/080-084,No_database_info,No_database_info
ODP0185-0801C-024R-001/046-049,No_database_info,No_database_info
ODP0185-0801C-025R-001/010-013,No_database_info,No_database_info
ODP0185-0801C-027R-003/066-069,No_database_info,No_database_info
ODP0185-0801C-028R-001/110-114,No_database_info,No_database_info
ODP0185-0801C-028R-002/036-038,No_database_info,No_database_info
ODP0185-0801C-028R-002/100-104,No_database_info,No_database_info
ODP0185-0801C-029R-001/016-018,No_database_info,No_database_info
ODP0185-0801C-030R-001/003-007,No_database_info,No_database_info
ODP0185-0801C-030R-001/111-114,No_database_info,No_database_info
ODP0185-0801C-030R-005/039-042,No_database_info,No_database_info
ODP0185-0801C-031R-004/043-045,No_database_info,No_database_info
ODP0185-0801C-031R-007/007-010,No_database_info,No_database_info
ODP0185-0801C-032R-001/121-127,No_database_info,No_database_info
ODP0185-0801C-034R-002/036-040,No_database_info,No_database_info
ODP0185-0801C-035R-003/100-104,No_database_info,No_database_info
ODP0185-0801C-037R-004/106-110,No_database_info,No_database_info
ODP0185-0801C-037R-005/112-114,No_database_info,No_database_info
ODP0185-0801C-038R-001/022-027,No_database_info,No_database_info
ODP0185-0801C-038R-003/053-059,No_database_info,No_database_info
ODP0185-0801C-042R-002/034-038,No_database_info,No_database_info
ODP0185-0801C-043R-001/013-015,No_database_info,No_database_info
ODP0185-0801C-043R-002/101-104,No_database_info,No_database_info
ODP0185-0801C-043R-003/050-055,No_database_info,No_database_info
ODP0185-0801C-046R-002/048-052,No_database_info,No_database_info
ODP0185-0801C-050M-001/029-032,No_database_info,No_database_info
ODP0185-0801C-052M-001/047-049,No_database_info,No_database_info
