,DataBase,SAMPLE_INFO
ODP0129-0801C-007R-004/137-142,No_database_info,No_database_info
ODP0129-0801C-008R-001/065-067,No_database_info,No_database_info
ODP0129-0801C-008R-001/101-106,No_database_info,No_database_info
ODP0129-0801C-008R-002/078-080,No_database_info,No_database_info
ODP0129-0801C-008R-002/133-139,No_database_info,No_database_info
ODP0129-0801C-009R-005/020-024,No_database_info,No_database_info
ODP0129-0801C-010R-001/055-060,No_database_info,No_database_info
ODP0129-0801C-010R-006/067-070,No_database_info,No_database_info
ODP0129-0801C-011R-002/121-126,No_database_info,No_database_info
ODP0129-0801C-011R-003/121-126,No_database_info,No_database_info
ODP0129-0801C-011R-003/131-136,No_database_info,No_database_info
ODP0129-0801C-012R-003/032-037,No_database_info,No_database_info
ODP0129-0801C-012R-003/057-062,No_database_info,No_database_info
ODP0185-0801C-015R-007/031-034,No_database_info,No_database_info
ODP0185-0801C-034R-001/093-096,No_database_info,No_database_info
ODP0185-0801C-040R-001/024-027,No_database_info,No_database_info
ODP0185-0801C-044R-003/023-026,No_database_info,No_database_info
ODP0129-0801B-037R-001/036-038,No_database_info,No_database_info
ODP0129-0801B-041R-001/026-030,No_database_info,No_database_info
ODP0129-0801B-041R-002/074-079,No_database_info,No_database_info
ODP0129-0801B-043R-003/111-114,No_database_info,No_database_info
ODP0129-0801C-001R-005/033-035,No_database_info,No_database_info
ODP0129-0801C-002R-005/024-028,No_database_info,No_database_info
ODP0129-0801C-005R-001/095-098,No_database_info,No_database_info
ODP0129-0801C-006R-003/042-045,No_database_info,No_database_info
ODP0129-0801C-007R-003/043-048,No_database_info,No_database_info
ODP0129-0801C-009R-004/001-004,No_database_info,No_database_info
ODP0129-0801C-011R-002/145-148,No_database_info,No_database_info
ODP0129-0801C-012R-002/111-113,No_database_info,No_database_info
ODP0185-0801C-014R-001/086-088,No_database_info,No_database_info
ODP0185-0801C-015R-002/117-120,No_database_info,No_database_info
ODP0185-0801C-015R-007/096-099,No_database_info,No_database_info
ODP0185-0801C-016R-002/027-031,No_database_info,No_database_info
ODP0185-0801C-016R-002/082-086,No_database_info,No_database_info
ODP0185-0801C-016R-005/062-065,No_database_info,No_database_info
ODP0185-0801C-018R-001/064-069,No_database_info,No_database_info
ODP0185-0801C-021R-002/086-089,No_database_info,No_database_info
ODP0185-0801C-023R-003/080-084,No_database_info,No_database_info
ODP0185-0801C-024R-001/046-049,No_database_info,No_database_info
ODP0185-0801C-025R-001/010-013,No_database_info,No_database_info
ODP0185-0801C-027R-003/066-069,No_database_info,No_database_info
ODP0185-0801C-028R-001/110-114,No_database_info,No_database_info
ODP0185-0801C-028R-002/036-038,No_database_info,No_database_info
ODP0185-0801C-028R-002/100-104,No_database_info,No_database_info
ODP0185-0801C-029R-001/016-018,No_database_info,No_database_info
ODP0185-0801C-030R-001/003-007,No_database_info,No_database_info
ODP0185-0801C-030R-001/111-114,No_database_info,No_database_info
ODP0185-0801C-030R-005/039-042,No_database_info,No_database_info
ODP0185-0801C-031R-004/043-045,No_database_info,No_database_info
ODP0185-0801C-031R-007/007-010,No_database_info,No_database_info
ODP0185-0801C-032R-001/121-127,No_database_info,No_database_info
ODP0185-0801C-034R-002/036-040,No_database_info,No_database_info
ODP0185-0801C-035R-003/100-104,No_database_info,No_database_info
ODP0185-0801C-037R-004/106-110,No_database_info,No_database_info
ODP0185-0801C-037R-005/112-114,No_database_info,No_database_info
ODP0185-0801C-038R-001/022-027,No_database_info,No_database_info
ODP0185-0801C-038R-003/053-059,No_database_info,No_database_info
ODP0185-0801C-042R-002/034-038,No_database_info,No_database_info
ODP0185-0801C-043R-001/013-015,No_database_info,No_database_info
ODP0185-0801C-043R-002/101-104,No_database_info,No_database_info
ODP0185-0801C-043R-003/050-055,No_database_info,No_database_info
ODP0185-0801C-046R-002/048-052,No_database_info,No_database_info
ODP0185-0801C-050M-001/029-032,No_database_info,No_database_info
ODP0185-0801C-052M-001/047-049,No_database_info,No_database_info
329-U1365E-2R-1-W 36/40,No_database_info,No_database_info
329-U1365E-2R-1-W 65/69,No_database_info,No_database_info
329-U1365E-3R-1-W 130/134,No_database_info,No_database_info
329-U1365E-3R-2-W 20/22,No_database_info,No_database_info
329-U1365E-3R-2-W 22/24,No_database_info,No_database_info
329-U1365E-3R-2-W 52/56,No_database_info,No_database_info
329-U1365E-3R-3-W 33/37,No_database_info,No_database_info
329-U1365E-3R-3-W 112/116,No_database_info,No_database_info
329-U1365E-3R-4-W 66/68,No_database_info,No_database_info
329-U1365E-3R-4-W 68/70,No_database_info,No_database_info
329-U1365E-4R-1-W 22/24,No_database_info,No_database_info
329-U1365E-4R-1-W 24/25,No_database_info,No_database_info
329-U1365E-4R-1-W 37/40,No_database_info,No_database_info
329-U1365E-4R-2-W 88/92,No_database_info,No_database_info
329-U1365E-4R-2-W 137/142,No_database_info,No_database_info
329-U1365E-4R-3-W 10/13,No_database_info,No_database_info
329-U1365E-5R-1-W 8/12,No_database_info,No_database_info
329-U1365E-5R-2-W 89/93,No_database_info,No_database_info
329-U1365E-5R-3-W 29/33,No_database_info,No_database_info
329-U1365E-5R-4-W 53/57,No_database_info,No_database_info
329-U1365E-5R-4-W 86/90,No_database_info,No_database_info
329-U1365E-5R-4-W 144/149,No_database_info,No_database_info
329-U1365E-6R-1-W 8/12,No_database_info,No_database_info
329-U1365E-6R-1-W 26/30,No_database_info,No_database_info
329-U1365E-6R-2-W 19/23,No_database_info,No_database_info
329-U1365E-6R-2-W 99/103,No_database_info,No_database_info
329-U1365E-6R-4-W 8/10,No_database_info,No_database_info
329-U1365E-6R-4-W 10/12,No_database_info,No_database_info
329-U1365E-6R-4-W 19/23,No_database_info,No_database_info
329-U1365E-7R-1-W 41/45,No_database_info,No_database_info
329-U1365E-7R-2-W 131/135,No_database_info,No_database_info
329-U1365E-7R-3-W 0/2,No_database_info,No_database_info
329-U1365E-7R-3-W 2/4,No_database_info,No_database_info
329-U1365E-7R-4-W 0/4,No_database_info,No_database_info
329-U1365E-8R-1-W 41/47,No_database_info,No_database_info
329-U1365E-8R-2-W 49/53,No_database_info,No_database_info
329-U1365E-8R-2-W 117/119,No_database_info,No_database_info
329-U1365E-8R-2-W 119/121,No_database_info,No_database_info
329-U1365E-8R-3-W 41/45,No_database_info,No_database_info
329-U1365E-8R-4-W 8/10,No_database_info,No_database_info
329-U1365E-8R-4-W 84/88,No_database_info,No_database_info
329-U1365E-9R-1-W 84/88,No_database_info,No_database_info
329-U1365E-9R-3-W 138/142,No_database_info,No_database_info
329-U1365E-10R-1-W 46/50,No_database_info,No_database_info
329-U1365E-11R-1-W 75/78,No_database_info,No_database_info
329-U1365E-11R-1-W 100/104,No_database_info,No_database_info
329-U1365E-11R-2-W 0/2,No_database_info,No_database_info
329-U1365E-11R-2-W 2/4,No_database_info,No_database_info
329-U1365E-11R-2-W 89/93,No_database_info,No_database_info
329-U1365E-11R-3-W 77/81,No_database_info,No_database_info
329-U1365E-12R-1-W 19/23,No_database_info,No_database_info
329-U1365E-12R-1-W 71/76,No_database_info,No_database_info
329-U1365E-12R-2-W 66/68,No_database_info,No_database_info
329-U1365E-12R-3-W 17/21,No_database_info,No_database_info
329-U1365E-12R-3-W 128/132,No_database_info,No_database_info
329-U1365E-12R-4-W 60/64,No_database_info,No_database_info
329-U1368F-2R-1-W 13/17,No_database_info,No_database_info
329-U1368F-2R-2-W 13/17,No_database_info,No_database_info
329-U1368F-2R-2-W 134/138,No_database_info,No_database_info
329-U1368F-2R-3-W 110/115,No_database_info,No_database_info
329-U1368F-2R-4-W 61/64,No_database_info,No_database_info
329-U1368F-2R-4-W 86/90,No_database_info,No_database_info
329-U1368F-3R-1-W 19/21,No_database_info,No_database_info
329-U1368F-3R-1-W 21/23,No_database_info,No_database_info
329-U1368F-4R-1-W 23/27,No_database_info,No_database_info
329-U1368F-4R-1-W 66/68,No_database_info,No_database_info
329-U1368F-4R-1-W 129/131,No_database_info,No_database_info
329-U1368F-4R-1-W 131/133,No_database_info,No_database_info
329-U1368F-4R-2-W 14/16,No_database_info,No_database_info
329-U1368F-5R-1-W 30/34,No_database_info,No_database_info
329-U1368F-5R-2-W 64/69,No_database_info,No_database_info
329-U1368F-5R-3-W 9/14,No_database_info,No_database_info
329-U1368F-5R-3-W 93/97,No_database_info,No_database_info
329-U1368F-6R-1-W 83/87,No_database_info,No_database_info
329-U1368F-6R-1-W 119/123,No_database_info,No_database_info
329-U1368F-7R-1-W 48/50,No_database_info,No_database_info
329-U1368F-7R-1-W 90/92,No_database_info,No_database_info
329-U1368F-7R-2-W 8/13,No_database_info,No_database_info
329-U1368F-7R-2-W 46/48,No_database_info,No_database_info
329-U1368F-7R-2-W 93/95,No_database_info,No_database_info
329-U1368F-7R-2-W 113/115,No_database_info,No_database_info
329-U1368F-7R-3-W 16/20,No_database_info,No_database_info
329-U1368F-8R-1-W 31/36,No_database_info,No_database_info
329-U1368F-8R-1-W 129/134,No_database_info,No_database_info
329-U1368F-8R-1-W 143/148,No_database_info,No_database_info
329-U1368F-8R-2-W 121/124,No_database_info,No_database_info
329-U1368F-9R-1-W 29/33,No_database_info,No_database_info
329-U1368F-9R-1-W 95/99,No_database_info,No_database_info
329-U1368F-10R-1-W 0/3,No_database_info,No_database_info
329-U1368F-10R-1-W 3/5,No_database_info,No_database_info
329-U1368F-10R-1-W 112/116,No_database_info,No_database_info
329-U1368F-10R-2-W 57/62,No_database_info,No_database_info
329-U1368F-11R-1-W 10/14,No_database_info,No_database_info
329-U1368F-11R-1-W 81/86,No_database_info,No_database_info
329-U1368F-11R-1-W 133/137,No_database_info,No_database_info
329-U1368F-11R-2-W 20/23,No_database_info,No_database_info
329-U1368F-11R-2-W 74/76,No_database_info,No_database_info
329-U1368F-11R-2-W 76/78,No_database_info,No_database_info
329-U1368F-11R-2-W 110/116,No_database_info,No_database_info
329-U1368F-12R-1-W 29/33,No_database_info,No_database_info
329-U1368F-12R-1-W 71/74,No_database_info,No_database_info
329-U1368F-12R-2-W 11/13,No_database_info,No_database_info
329-U1368F-12R-2-W 13/16,No_database_info,No_database_info
329-U1368F-12R-2-W 122/127,No_database_info,No_database_info
329-U1368F-12R-3-W 51/55,No_database_info,No_database_info
329-U1368F-13R-1-W 7/11,No_database_info,No_database_info
329-U1368F-13R-1-W 71/75,No_database_info,No_database_info
329-U1368F-13R-1-W 114/115,No_database_info,No_database_info
329-U1368F-13R-1-W 115/117,No_database_info,No_database_info
329-U1368F-13R-2-W 54/55,No_database_info,No_database_info
329-U1368F-13R-2-W 55/57,No_database_info,No_database_info
329-U1368F-13R-2-W 108/110,No_database_info,No_database_info
329-U1368F-13R-2-W 120/124,No_database_info,No_database_info
329-U1368F-13R-3-W 52/56,No_database_info,No_database_info
329-U1368F-13R-3-W 131/135,No_database_info,No_database_info
329-U1368F-13R-4-W 22/27,No_database_info,No_database_info
329-U1368F-14R-1-W 39/43,No_database_info,No_database_info
329-U1368F-14R-1-W 140/145,No_database_info,No_database_info
